colonyID,GroupSize,Specialization,,,,,
A1_1,1,NA,,,,,
A1_2,1,NA,,,,,
A1_3,1,NA,,,,,
A1_4,1,NA,,,,,
A1_5,1,NA,,,,,
A1_6,1,NA,,,,,
A1_7,1,NA,,,,,
A1_8,1,NA,,,,,
A12_1,12,0.428,,,,,
A12_2,12,0.647,,,,,
A12_3,12,0.565,,,,,
A12_4,12,0.687,,,,,
A12_5,12,0.346,,,,,
A12_6,12,0.674,,,,,
A12_7,12,0.714,,,,,
A12_8,12,0.520,,,,,
A12_9,12,0.694,,,,,
A16_1,16,0.393,,,,,
A16_2,16,0.730,,,,,
A16_3,16,0.716,,,,,
A16_4,16,0.578,,,,,
A16_5,16,0.550,,,,,
A16_6,16,0.473,,,,,
A16_7,16,0.768,,,,,
A2_1,2,0.091,,,,,
A2_2,2,0.217,,,,,
A2_3,2,0.412,,,,,
A2_4,2,0.333,,,,,
A2_5,2,0.692,,,,,
A2_6,2,0.125,,,,,
A2_7,2,0.176,,,,,
A2_8,2,0.048,,,,,
A4_1,4,0.400,,,,,
A4_2,4,0.433,,,,,
A4_3,4,0.483,,,,,
A4_4,4,0.200,,,,,
A4_5,4,0.197,,,,,
A4_6,4,0.431,,,,,
A4_7,4,0.183,,,,,
A4_8,4,0.306,,,,,
A6_1,6,0.421,,,,,
A6_2,6,0.571,,,,,
A6_3,6,0.364,,,,,
A6_4,6,0.538,,,,,
A6_5,6,0.566,,,,,
A6_6,6,0.495,,,,,
A6_7,6,0.450,,,,,
A6_8,6,0.726,,,,,
A8_1,8,0.463,,,,,
A8_2,8,0.331,,,,,
A8_3,8,0.597,,,,,
A8_4,8,0.648,,,,,
A8_5,8,0.714,,,,,
A8_6,8,0.560,,,,,
A8_7,8,0.308,,,,,
A8_8,8,0.724,,,,,
B1_1,1,NA,,,,,
B1_2,1,NA,,,,,
B1_3,1,NA,,,,,
B1_4,1,NA,,,,,
B1_5,1,NA,,,,,
B1_6,1,NA,,,,,
B1_7,1,NA,,,,,
B1_8,1,NA,,,,,
B12_1,12,0.640,,,,,
B12_2,12,0.488,,,,,
B12_3,12,0.448,,,,,
B12_4,12,0.641,,,,,
B12_5,12,0.329,,,,,
B12_6,12,0.406,,,,,
B12_7,12,0.331,,,,,
B12_8,12,0.365,,,,,
B16_2,16,0.636,,,,,
B16_3,16,0.645,,,,,
B16_4,16,0.583,,,,,
B16_5,16,0.517,,,,,
B16_6,16,0.431,,,,,
B16_7,16,0.584,,,,,
B16_8,16,0.677,,,,,
B2_1,2,0.778,,,,,
B2_2,2,0.273,,,,,
B2_3,2,0.000,,,,,
B2_4,2,0.067,,,,,
B2_5,2,-0.250,,,,,
B2_6,2,0.500,,,,,
B2_7,2,0.200,,,,,
B2_8,2,0.600,,,,,
B4_1,4,0.200,,,,,
B4_2,4,0.400,,,,,
B4_3,4,0.289,,,,,
B4_4,4,0.571,,,,,
B4_5,4,0.067,,,,,
B4_6,4,0.143,,,,,
B4_7,4,0.111,,,,,
B4_8,4,0.325,,,,,
B6_1,6,0.250,,,,,
B6_2,6,0.552,,,,,
B6_3,6,0.608,,,,,
B6_4,6,0.143,,,,,
B6_5,6,0.265,,,,,
B6_6,6,0.114,,,,,
B6_8,6,0.614,,,,,
B8_1,8,0.432,,,,,
B8_2,8,0.469,,,,,
B8_3,8,0.246,,,,,
B8_4,8,0.541,,,,,
B8_5,8,0.548,,,,,
B8_6,8,0.184,,,,,
B8_7,8,0.378,,,,,
B8_8,8,0.366,,,,,
